Party,Handle,Tweet
Democrat,NancyPelosi,The President's decision to follow his misguided &amp; uninformed campaign promise to destroy the successful JCPOA enda… https://t.co/NgiVyYqTgP
Democrat,NancyPelosi,Experts &amp; our allies all agree that this landmark agreement has been successful in preventing Iran from obtaining a… https://t.co/NdIothPeEm
Democrat,NancyPelosi,"The Joint Comprehensive Plan of Action is a great diplomatic achievement. Yet, the President has chosen to utterly ignore that reality."
Democrat,NancyPelosi,"This rash decision isolates America, not Iran. https://t.co/u1GOUP6wBR https://t.co/cf8xRi9vWX"
Democrat,NancyPelosi,Being thankful for our teachers is not enough. America’s educators determine the shape of our country for years to… https://t.co/6WgviipuOg
Democrat,NancyPelosi,We must stand strong against @realDonaldTrump’s efforts to undermine the #2020Census. https://t.co/V4otGLbxTi
Democrat,NancyPelosi,RT @RepCummings: It’s time to send a clear message on the #2020Census that #EveryoneCounts. An undercount will hurt people in red states to…
Democrat,NancyPelosi,The goal of those of us in Congress should *always* be to bridge the divides between our fellow citizens. Our Found… https://t.co/wPbXOjj5RJ
Democrat,NancyPelosi,Whether it’s separating immigrant children from their families or stealing from funds dedicated to children’s healt… https://t.co/duEftdHfDF
Democrat,NancyPelosi,"But it goes beyond that: anyone who has looked at prices for the goods &amp; services working families depend on, it’s… https://t.co/QvvfeKxFVS"
Democrat,NancyPelosi,Putting an end to wage stagnation is central to any effort to reinvigorate our economy &amp; plan for the future. If yo… https://t.co/4knzawRKRL
Democrat,NancyPelosi,Just a few minutes until I head out on stage for the #POLITICOInterview with @APalmerDC &amp; @JakeSherman to talk abou… https://t.co/BPDB8tuhOs
Democrat,NancyPelosi,"26 former Israeli military officers &amp; former security agency leaders agree that the #IranDeal is working, saying if… https://t.co/kdCOXsqtBE"
Democrat,NancyPelosi,Looking forward to joining @APalmerDC &amp; @JakeSherman for tomorrow’s #POLITICOInterview tomorrow at 8:30 am ET to di… https://t.co/Z3WEBxhanw
Democrat,NancyPelosi,"Republicans need to take a good, long look at themselves. I can’t begin to imagine the staggering gall they must ha… https://t.co/pnRRpLZgsD"
Democrat,NancyPelosi,Economic justice. Environmental justice. Social justice. Our government must be focused on ensuring them all.… https://t.co/B4mXwzWj62
Democrat,NancyPelosi,Incredibly thankful to each &amp; every person who took the time from planting season to come share their experiences &amp;… https://t.co/E3YW53hJx2
Democrat,NancyPelosi,"Thrilled to join Aaron Lehman on his father’s farm in Slater, Iowa. So thankful to him, his wife, Nicole, &amp; friends… https://t.co/1F5AiT2Jt9"
Democrat,NancyPelosi,RT @RepKClark: I will never forget watching as the @HouseGOP celebrated passing #Trumpcare – a vote which caused families across the countr…
Democrat,NancyPelosi,#Trumpcare was nothing short of a moral monstrosity which would have imposed an age tax that would have allowed ins… https://t.co/5OeGH4VuXN
Democrat,NancyPelosi,".@realDonaldTrump’s decision to end Temporary Protected Status for 57,000 Hondurans will tear apart families &amp; comm… https://t.co/4MM2LIlX5R"
Democrat,NancyPelosi,We should be doing more to help families deal with the costs of health care – but #Trumpcare would have stolen affo… https://t.co/3Pdx7RNOo8
Democrat,NancyPelosi,"A year after #Trumpcare, @RepKClark believes more than ever that health care is a right for all – not a privilege f… https://t.co/IV5rqPTZdz"
Democrat,NancyPelosi,"One year after the @HouseGOP rammed through #Trumpcare, we remain thankful to all who helped defeat this monstrous… https://t.co/d7S3udJMZZ"
Democrat,NancyPelosi,.@realDonaldTrump has proven numerous times his disdain for the rule of law. This comment is just the latest.… https://t.co/BGLP7UO4e7
Democrat,NancyPelosi,"The story of Jews in America is one of determination &amp; courage. This year, we honor our Jewish communities by pledg… https://t.co/YcvfRuPVqT"
Democrat,NancyPelosi,RT @EnergyCommerce: The American people have lost faith in the EPA as #PollutingPruitt’s lies and conflicts of interest continue to snowbal…
Democrat,NancyPelosi,"For generations, Asian Pacific Americans have defended our nation &amp; shared their culture, while overcoming persecut… https://t.co/yDnb5HYPXt"
Democrat,NancyPelosi,"I don’t agree with former @HHSgov Secretary Tom Price very often, but it’s good to know he’s willing to state the f… https://t.co/gB5cVdF60b"
Democrat,NancyPelosi,"#ThankYouCecile for your constant, energetic fight to protect health care for women &amp; families across America. Your… https://t.co/6wSlENv4Jb"
Democrat,NancyPelosi,"Every small business starts with a good idea. With #ABetterDeal, we can make sure more small businesses have the to… https://t.co/FLbqupfZBA"
Democrat,NancyPelosi,"This week included some special moments with Take Our Daughters &amp; Sons to Work Day here at the Capitol, as well as… https://t.co/1MdUjxcCln"
Democrat,NancyPelosi,Americans live &amp; work at a pace unlike anything we’ve ever seen before. It’s time to make sure their government can… https://t.co/OewpqcPQlv
Democrat,NancyPelosi,"Creativity doesn’t care about zip codes. By taking these steps, we can unleash the economic potential of Americans… https://t.co/yYjsvccIXe"
Democrat,NancyPelosi,America’s workers are the best in the world – and deserve the tools to help them stay on top. #ABetterDeal https://t.co/O0ihbrqd4c
Democrat,NancyPelosi,Father Conroy’s abrupt &amp; unjust dismissal is hard to understand &amp; impossible to support. In all his years of servic… https://t.co/lDsGRT78of
Democrat,NancyPelosi,Father Pat Conroy’s service for the last seven years has been a blessing of grace &amp; dignity to the House. It is tru… https://t.co/fscMOOJQKK
Democrat,NancyPelosi,House Intel Republicans’ fundamentally flawed final report on Russia is the result of a fundamentally flawed invest… https://t.co/NsyhaBFlHy
Democrat,NancyPelosi,"RT @RepDonBeyer: Welcoming @NancyPelosi and Democratic leaders to Alexandria’s @NOVAcommcollege to unveil our new economic plan, Tools to S…"
Democrat,NancyPelosi,RT @RepVeasey: Investing in and prioritizing our workforce is the key to #ABetterDeal. American workers should know that Dems in Congress w…
Democrat,NancyPelosi,RT @RepAdams: To protect America’s role as a global leader we must ensure workers nationwide have the tools for the 21st Century. #ABetterD…
Democrat,NancyPelosi,RT @SkillsCoalition: So heartening to see #ABetterDeal platform considers the future of work. Number one priority is investing in worker tr…
Democrat,NancyPelosi,An economy that works for *all* Americans doesn’t just happen. We need to give them the tools to succeed.… https://t.co/BQClqrzMLM
Democrat,NancyPelosi,RT @RepCicilline: Democrats have a REAL plan to give people #ABetterDeal through investing in our workers &amp; reprioritizing groundbreaking r…
Democrat,NancyPelosi,"Today, we announce an ambitious new addition to our plan to give America #ABetterDeal. https://t.co/tEykkO4GUp"
Democrat,NancyPelosi,"RT @HRC: Thanks @NancyPelosi for a great meeting with #LGBTQ activists from around the world, including a group of @HRC Global Innovators,…"
Democrat,NancyPelosi,"With at least seven independent federal investigations into his use of taxpayer dollars, it’s time to send… https://t.co/o3hWCt1uCo"
Democrat,NancyPelosi,"One of my favorite days each year is #TakeYourChildToWorkDay, when I get to answer questions from the children of m… https://t.co/4Rnt9vh0R0"
Democrat,NancyPelosi,Glad to see the Senate take the first steps towards protecting the Mueller investigation. It’s time for @HouseGOP t… https://t.co/Ui6y3Uf42t
Democrat,NancyPelosi,I’m speaking to reporters as @EPAScottPruitt comes to the Hill to answer questions. #CultureOfCorruption https://t.co/fOO3b8LEJO
Democrat,NancyPelosi,"RT @RepTedLieu: Democrats have repeatedly called for investigations into the Trump Admin’s #CultureOfCorruption. Unfortunately, the GOP-con…"
Democrat,NancyPelosi,Looking forward to welcoming some very special guests for today’s press conference at 10:45 am ET!… https://t.co/in0FGsoCNJ
Democrat,NancyPelosi,"Four years after the start of the Flint water crisis, families are still using filters &amp; bottled water. Our fellow… https://t.co/lzD0W0gfow"
Democrat,NancyPelosi,"This #NationalParkWeek, we recommit to preserving America’s open spaces for future generations. #MonumentsForAll https://t.co/onSGnevXPA"
Democrat,NancyPelosi,"RT @JohnJHarwood: HUD preparing rent hike of up to $100 a month for 4.5-million families receiving federal housing assistance, per WashPost…"
Democrat,NancyPelosi,The US &amp; France have enshrined the values of freedom &amp; respect for human rights for over 200 years. In his address… https://t.co/mRQClfjJVw
Democrat,NancyPelosi,Join us as we investigate how surging prescription drug prices impact working families. https://t.co/GTVrzeihEg
Democrat,NancyPelosi,Less than an hour until this afternoon’s hearing on how prescription drug price increases impact families.… https://t.co/hzLFD4kkky
Democrat,NancyPelosi,"At 3 pm ET today, House Democrats will hold a hearing with experts &amp; community leaders to discuss the impact of lar… https://t.co/A2Ov8kq1zG"
Democrat,NancyPelosi,"RT @RepDanKildee: Four years later, Flint families are still recovering from the water crisis and having to use filters &amp; bottled water. In…"
Democrat,NancyPelosi,I cannot say this enough: immigrants are the constant revitalization of America. To not accept that is to reject a… https://t.co/m3EBfQtd7a
Democrat,NancyPelosi,"I truly have a difficult time wrapping my mind around people who pray on Sunday, only to prey on others during the… https://t.co/Cm9wwsVFBl"
Democrat,NancyPelosi,This young man’s story is a reminder of all that America’s immigrants have to offer. We cannot turn our backs on Am… https://t.co/JSR234Fyoj
Democrat,NancyPelosi,"When people ask me what we are fighting for, the answer is always the same: the safety &amp; well-being of America’s ch… https://t.co/Is2Sa9NJbw"
Democrat,NancyPelosi,The #GOPTaxScam is defined by creating a windfall for a small number of wealthy people &amp; companies – while ultimate… https://t.co/fWjbKOsHA8
Democrat,NancyPelosi,"Protecting #NetNeutrality is a question of ethics, of innovation, and of job creation. #PelosiAtGU"
Democrat,NancyPelosi,Americans deserve to know their personal data is protected. Democrats are currently working to put together an Inte… https://t.co/UwiCtZVwyr
Democrat,NancyPelosi,#ABetterDeal is about fairness. It’s about justice. It’s about listening to the American people and providing solut… https://t.co/ISUk31iESH
Democrat,NancyPelosi,Democrats are about our future – about our children. That is who we spend every day working to support. #PelosiAtGU #ABetterDeal
Democrat,NancyPelosi,About to head on stage for #PelosiAtGU! Tune in here: https://t.co/QV87NsWMNh
Democrat,NancyPelosi,Looking forward to getting the chance to speak with everyone! #ABetterDeal #PelosiAtGU https://t.co/9uhE8H6FVb
Democrat,NancyPelosi,"RT @RepLloydDoggett: Since 2006, the average cost for a year of medication for someone with a chronic disease has more than doubled to over…"
Democrat,NancyPelosi,Looking forward to speaking with everyone who comes out to talk about #ABetterDeal &amp; the issues facing young people… https://t.co/gAVx35w0HR
Democrat,NancyPelosi,"The common thread seen through the #GOPTaxScam, the #TrumpBudget, &amp; the GOP’s higher ed proposal? They all sacrific… https://t.co/Qt2eoDLxG0"
Democrat,NancyPelosi,"Amid rising temperatures, surging seas &amp; record floods, fires &amp; storms, #EarthDay reminds us that bold, ambitious g… https://t.co/QkiddW1EXF"
Democrat,NancyPelosi,"This week, I joined other Members of Congress to honor our friend, Rep. Louise Slaughter, who passed last month. Ta… https://t.co/XzXxLaEnWG"
Democrat,NancyPelosi,Wishing my friend @RepBarbaraLee a happy 20th anniversary of her joining the House of Representatives. Your commitm… https://t.co/rYeqVAaYXw
Democrat,NancyPelosi,"On #JohnMuirDay, we recognize the importance a healthy environment plays in our communities &amp; our daily lives. And… https://t.co/t3GmuBDARK"
Democrat,NancyPelosi,RT @RepRichardNeal: You can’t upend the tax system without creating serious problems – &amp; we’re already seeing the #GOPTaxScam creating many…
Democrat,NancyPelosi,.@RepRichardNeal is at the forefront of the fight against the #GOPTaxScam &amp; he’s calling out the raw deal Republica… https://t.co/nS1CUt0FHE
Democrat,NancyPelosi,When will this end? Congress has a duty to act. #NeverAgain #EndGunViolence https://t.co/iq5PRPtMrC
Democrat,NancyPelosi,"But at least that secretary in Lancaster, PA got $1.50 more a week, right @SpeakerRyan? #GOPTaxScam https://t.co/ifPC89JKO6"
Democrat,NancyPelosi,"19 years after the Columbine shooting, our hearts are with the victims, survivors &amp; families of Columbine, &amp; our vo… https://t.co/Qb8ux6DM7O"
Democrat,NancyPelosi,The #GOPTaxScam gave massive tax breaks to massive corporations and the wealthiest 1 percent at the expense of work… https://t.co/Higrlg8zjO
Democrat,NancyPelosi,The release of #Comey Memos are further proof of @realDonaldTrump’s contempt for the rule of law. His attempts to i… https://t.co/dd47HQXSzA
Democrat,NancyPelosi,"RT @RepJimmyPanetta: Proposed changes will impact 23,000 active duty military households across the country enrolled in #SNAP. Our military…"
Democrat,NancyPelosi,"Thankful to @CecileRichards for her kind words. At every turn, we have seen that when #WomenSucceed, America succee… https://t.co/hB8X1fJpxy"
Democrat,NancyPelosi,Tune in as I speak with reporters in the wake of #TaxDay. https://t.co/tgXi04wHqs
Democrat,NancyPelosi,It was a pleasure to present @littlebigtown with the Creators Leadership Award at the #GRAMMYSOnTheHill. The use of… https://t.co/LgEI7pnWGS
Democrat,NancyPelosi,It seems every day brings more evidence that @EPAScottPruitt has no business working in public service. He must resign. #BootPruitt
Democrat,NancyPelosi,"RT @RepMcGovern: .@HouseGOP wrote #2018FarmBill in secret behind closed doors. Even as one of the top Democrats on #Agriculture cmte, I did…"
Democrat,NancyPelosi,The Trump Administration’s #CultureOfCorruption is – once again – costing the taxpayers dearly. @USTradeRep Lighthi… https://t.co/aflwOC1IyO
Democrat,NancyPelosi,We will never stop fighting for our fellow Americans in #PuertoRico. While we are still waiting on information as t… https://t.co/iS32ybFNZw
Democrat,NancyPelosi,"RT @RepAnthonyBrown: #PuertoRico hasn't recovered after #HurricaneMaria. Thousands still without power, scores of schools &amp; businesses shut…"
Democrat,NancyPelosi,This is completely false. The GOP #2018FarmBill cuts over $23 billion in SNAP benefits from hungry Americans. https://t.co/VPz8KdDimy
Democrat,NancyPelosi,"RT @RepTimWalz: Instead of working together with Democrats in good faith, #HouseAg Republicans are taking up their partisan #FarmBill, whic…"
Democrat,NancyPelosi,"RT @RepBRochester: For DE, Agriculture contributes 30,000 jobs and $8B in yearly economic activity. It means a lot to my state, and I'm dis…"
Democrat,NancyPelosi,"RT @IRSnews: Urgent: IRS provides an extra day for taxpayers to file, pay their taxes following system issues. File by midnight, April 18."
Democrat,NancyPelosi,"Tonight is a sad night for America. First Lady Barbara Bush will be remembered for the dignity, civility &amp; spirit s… https://t.co/AhZ87ZHCvb"
Democrat,NancyPelosi,#TaxDay takeaway you won’t hear from @SpeakerRyan: #GOPTaxScam has wealthy shareholders celebrating their massive t… https://t.co/YAaYa7TWub
Democrat,NancyPelosi,Must watch #TaxDay video. The #GOPTaxScam is simply useless when it comes to creating jobs. https://t.co/1NsEJZlzml
Democrat,NancyPelosi,"RT @RepSires: Four months later, the #GOPTaxScam is showing its true colors. Meanwhile, American families desperately wait for real legisla…"
Democrat,NancyPelosi,RT @RepCardenas: ...  The #GOPTaxScam is just another way to claim we can’t afford Medicaid for California children. #TaxDay
Democrat,NancyPelosi,.@MClyburnFCC leaves behind a record of fighting to keep families connected &amp; making sure the FCC paid attention to… https://t.co/BdJHVfRxGw
Democrat,NancyPelosi,"RT @RepDavidEPrice: In North Carolina, 60% of benefits in the #GOPTaxScam go to the top 5% of earners. Meanwhile, a minimum wage worker wil…"
Democrat,NancyPelosi,"RT @RepPerlmutter: The #GOPTaxScam favors the wealthy and well-connected in Colorado and other states. Across the country, people at the ve…"
Democrat,NancyPelosi,RT @RepDebDingell: This #TaxDay is also a bitter reminder that tax cuts don't pay for themselves. The GOP tax law paves the way for future…
Democrat,NancyPelosi,RT @RepSchneider: The partisan GOP tax plan was a huge missed opportunity to modernize our tax code and set us on a sustainable fiscal path…
Democrat,NancyPelosi,RT @RepRaulGrijalva: Looks like the American people are recognizing that the #GOPTaxScam was nothing more than a massive transfer of wealth…
Democrat,NancyPelosi,"RT @RepYvetteClarke: This #TaxDay remember, Speaker Ryan once bragged about handing a stunningly paltry tax cut of $1.50 per week to worker…"
Democrat,NancyPelosi,RT @RepBeatty: I bet @realdonaldtrump and his buddies are happy it's #TaxDay. https://t.co/8ss7Krbqam
Democrat,NancyPelosi,You will want to keep this in mind as you hear the @HouseGOP spin the #GOPTaxScam today. #TaxDay https://t.co/ZrY0uP3Hhh
Democrat,NancyPelosi,RT @RepMcEachin: It’s #TaxDay – which means my Republican colleagues will be talking up the #GOPTaxScam until they are blue in the face. Ju…
Democrat,NancyPelosi,There is no excuse for forcing public servants to lie to the American people so the Administration can score politi… https://t.co/etX7U8RrXt
Democrat,NancyPelosi,"If the President plans to escalate militarily in Syria, he must come to the Congress to ask for an AUMF. Americans… https://t.co/h1dmLxcdbO"
Democrat,NancyPelosi,"As always, Barbara Bush is a comfort to her friends &amp; family teaching us all how to live full of faith, love &amp; humo… https://t.co/kElUX1fjmQ"
Democrat,NancyPelosi,From meeting with the first female head of NORTHCOM to meeting with Americans who count on Medicare &amp; Social Securi… https://t.co/krKXXOnDs6
Democrat,NancyPelosi,".@realDonaldTrump must come to Congress to obtain a new AUMF, present a clear set of objectives, &amp; ultimately hold… https://t.co/aCpZrWX9pg"
Democrat,NancyPelosi,The latest chemical weapons attack against the Syrian people was a brutally inhuman war crime. Yet one night of air… https://t.co/vjL5mx0gzo
Democrat,NancyPelosi,RT @RepJohnLarson: ⚡️Newsflash! #SocialSecurity is insurance that the American people have paid for. 10k baby boomers a day become eligible…
Democrat,NancyPelosi,"On April 14, 2014, 276 schoolgirls were abducted by #BokoHaram in Nigeria. Four years later, 112 of the… https://t.co/YXtc0nsfB0"
Democrat,NancyPelosi,Trump is clearly trying to send a message with his pardon of Scooter Libby – he has no issue with rewarding those w… https://t.co/6C5XuhHgPq
Democrat,NancyPelosi,.@realDonaldTrump’s pardon of Scooter Libby makes clear his contempt for the American tradition of the rule of law.
Democrat,NancyPelosi,Our brave men &amp; women in uniform who make sacrifices every day deserve better leadership from their Commander-in-Ch… https://t.co/tdBpJYeKGC
Democrat,NancyPelosi,RT @RepBillFoster: .@realdonaldtrump has denied the science of #climatechange and let @EPAScottPruitt gut environmental regulations. It’s d…
Democrat,NancyPelosi,Very much looking forward to talking with the young people of @GUPolitics about the many issues that impact them &amp;… https://t.co/1mC2bvlF0G
Democrat,NancyPelosi,The Trump Administration's decision to end services that help immigrants understand their legal rights in this coun… https://t.co/iDw281Q6vJ
Democrat,NancyPelosi,".@HouseGOP’s #FarmBill proposal seals their betrayal of rural communities &amp; the seniors, veterans, individuals with… https://t.co/Yu1BBrCtIt"
Democrat,NancyPelosi,"On this day of Remembrance, let us ensure that the lives of all who were lost in the Shoah continue to be a source… https://t.co/ZOYC4Q7J1c"
Democrat,NancyPelosi,The People’s House is built on open &amp; honest debate of the issues facing American communities. @SpeakerRyan has mad… https://t.co/boXHe0QJD6
Democrat,NancyPelosi,"The #GOPTaxScam mortgaged the futures of our seniors, children &amp; families to enrich wealthy corporations &amp; pharmace… https://t.co/H06LiC9kJb"
Democrat,NancyPelosi,"The @HouseGOP is trying to ransack Medicare, Medcaid &amp; Social Security again. https://t.co/H08czwgETI"
Democrat,NancyPelosi,Just under 30 minutes until I speak live with reporters from the Capitol. Tune in as we discuss the @HouseGOP’s *mo… https://t.co/NWk1ttAxfg
Democrat,NancyPelosi,Republicans are lining up to devastate the promise of #SocialSecurity &amp; #Medicare. Democrats are fighting back. https://t.co/b7WxNw543n
Democrat,NancyPelosi,It already is. https://t.co/2CqWTjnPED
Democrat,NancyPelosi,.@SpeakerRyan &amp; @HouseGOP seem to have forgotten that Americans will not stand for their attacks on #Medicare &amp;… https://t.co/5UOyJSEdfN
Democrat,NancyPelosi,"Happy Birthday to @DoloresHuerta! Today &amp; every day, thank you for all that you do to improve the lives of workers… https://t.co/Bm035uW7wk"
Democrat,NancyPelosi,"RT @RepDianaDeGette: On #EqualPayDay, we confront the double burden of sexism &amp; racism in the fight to achieve pay equity. Women on average…"
Democrat,NancyPelosi,"RT @RepGwenMoore: Black women make $0.63 for every $1 earned by a man. At the end of the day, this means less rent &amp; food on the table for…"
Democrat,NancyPelosi,"Securing #EqualPay means securing economic justice &amp; opportunity for all people. With the #PaycheckFairnessAct, we… https://t.co/OT9y9n8Wdz"
Democrat,NancyPelosi,Important reminder for #DREAMers: you can still apply to renew your #DACA protections. Learn more &amp; reapply here:… https://t.co/lSOD5AtuLv
Democrat,NancyPelosi,RT @RepLoisFrankel: #EqualPayDay recognizes that women must work 3 extra months just to earn the same pay as men! Closing the #GenderWageGa…
Democrat,NancyPelosi,President Trump’s utter contempt for the rule of law was clear in his disturbing attack on Special Counsel’s invest… https://t.co/or6lFazZjs
Democrat,NancyPelosi,"Key takeaways from new @USCBO report:
-#GOPTaxScam driving $1+ trillion annual deficits starting in 2020
-… https://t.co/Noa3iuDfAh"
Democrat,NancyPelosi,"Congratulations, @SenDuckworth! Wishing the best to you, Bryan, Abigail &amp; little Maile Pearl. I’m sure she will gro… https://t.co/x6m2cQAmsW"
Democrat,NancyPelosi,"With Congress coming back to Washington this week, here’s a look at our Congressional Delegation’s trip to Jordan,… https://t.co/k4TID1k02X"
Democrat,NancyPelosi,"If confirmed, another chemical weapons attack by Bashar al-Assad’s regime against its own people would be a war cri… https://t.co/a64A7tovs4"
Democrat,NancyPelosi,"RT @HouseDemocrats: Fifty years after the loss of his mentor and friend, Dr. Martin Luther King, Jr., @RepJohnLewis reminds us that real pr…"
Democrat,NancyPelosi,Sitting down for the State of the Union was more painful than standing up for eight hours in heels in order to shar… https://t.co/KfFVNV9fmz
Democrat,NancyPelosi,"Fifty years after the loss of Dr. King, @RepJohnLewis reminds us that his vision wasn’t a thing of the past – it re… https://t.co/yQPUjlmoqP"
